ID,City,Age,Religion,Ethnic,Educational Level,Occupation,Social Class,Montly Expenditure for Food (%),Religious Value in Type of Food,Religious Value in Eating Places,Religious Value in Consumption Pattern,Practice of Food Consumption Based on Religious Rules,Practice of Food Consumption Based on Custom Rules,Buying Food Product in the Right Place Based on Religious Rules,Practice of Consumption Traditional Food
1,Jakarta,31,Islam,Java,Senior High School,Private Employees,Lower Class,57,Strongly Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree
2,Jakarta,36,Islam,Java,Bachelor degree,Private Employees,Lower Class,43,Strongly Agree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree
3,Jakarta,24,Islam,Java,Senior High School,Private Employees,Middle Class,38,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
4,Jakarta,63,Islam,Other,Senior High School,Private Employees,Lower Class,61,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Agree
5,Jakarta,43,Protestant,Batak,Primary School,Government Employees,Lower Class,58,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Agree,Disagree,Agree
6,Jakarta,47,Protestant,Java,Senior High School,Government Employees,Lower Class,34,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Agree
7,Jakarta,28,Catholic,Java,Senior High School,Enterpreneur,Upper Class,26,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Agree
8,Jakarta,48,Islam,Java,Senior High School,Enterpreneur,Lower Class,57,Strongly Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree
9,Jakarta,36,Islam,Java,Senior High School,Enterpreneur,Upper Class,24,Strongly Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree
10,Jakarta,39,Protestant,Other,Bachelor degree,Private Employees,Upper Class,27,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly Agree,Agree,Agree
11,Jakarta,53,Catholic,Batak,Master and doctoral degree,Private Employees,Lower Class,67,Strongly Agree,Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree
12,Jakarta,57,Islam,Java,Primary School,Private Employees,Middle Class,36,Strongly Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree
13,Jakarta,46,Islam,Java,Bachelor degree,Private Employees,Lower Class,42,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Agree,Agree,Strongly Agree
14,Jakarta,53,Islam,Java,Bachelor degree,Private Employees,Lower Class,73,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly Agree
15,Jakarta,58,Islam,Java,Bachelor degree,Private Employees,Middle Class,41,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Neither agree nor disagree,Agree
16,Jakarta,62,Catholic,Java,Senior High School,Private Employees,Middle Class,33,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Agree,Neither agree nor disagree,Strongly Agree
17,Jakarta,41,Islam,Bugis,Bachelor degree,Teacher?/Lecturer,Upper Class,19,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree
18,Jakarta,61,Islam,Java,Primary School,Teacher?/Lecturer,Lower Class,69,Strongly Agree,Strongly Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree
19,Jakarta,23,Islam,Java,Bachelor degree,Government Employees,Upper Class,23,Strongly Agree,Strongly Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree
20,Jakarta,27,Protestant,Batak,Senior High School,Government Employees,Upper Class,25,Agree,Strongly Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree
21,Jakarta,38,Protestant,Batak,Master and doctoral degree,Government Employees,Lower Class,57,Strongly Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Agree,Disagree
22,Jakarta,24,Protestant,Java,Bachelor degree,Government Employees,Upper Class,43,Agree,Strongly Agree,Agree,Strongly Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
23,Jakarta,33,Islam,Batak,Senior High School,Government Employees,Lower Class,38,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree
24,Jakarta,27,Islam,Other,Master and doctoral degree,Police Officer?/Army,Lower Class,61,Strongly Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree
25,Jakarta,54,Islam,Other,Senior High School,Police Officer?/Army,Lower Class,58,Strongly Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
26,Jakarta,30,Protestant,Java,Senior High School,Private Employees,Middle Class,34,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Disagree
27,Jakarta,61,Catholic,Sunda,Bachelor degree,Private Employees,Upper Class,26,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
28,Jakarta,24,Islam,Java,Bachelor degree,Government Employees,Lower Class,57,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Agree,Neither agree nor disagree,Agree
29,Jakarta,33,Islam,Java,Bachelor degree,Police Officer?/Army,Upper Class,24,Strongly Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
30,Jakarta,31,Protestant,Java,Diploma,Private Employees,Upper Class,27,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neither agree nor disagree,Agree
31,Jakarta,25,Protestant,Java,Diploma,Private Employees,Lower Class,67,Strongly Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
32,Jakarta,34,Islam,Java,Bachelor degree,Private Employees,Middle Class,36,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
33,Jakarta,28,Islam,Java,Master and doctoral degree,Enterpreneur,Upper Class,42,Strongly Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
34,Jakarta,35,Islam,Java,Bachelor degree,Enterpreneur,Lower Class,73,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree
35,Jakarta,63,Islam,Java,Bachelor degree,Enterpreneur,Middle Class,41,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree
36,Jakarta,41,Islam,Sunda,Bachelor degree,Enterpreneur,Middle Class,33,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree
37,Jakarta,30,Islam,Java,Bachelor degree,Government Employees,Upper Class,19,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Neither agree nor disagree,Agree
38,Jakarta,27,Catholic,Batak,Senior High School,Government Employees,Lower Class,69,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
39,Jakarta,32,Catholic,Batak,Diploma,Government Employees,Upper Class,23,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Neither agree nor disagree,Disagree
40,Jakarta,29,Islam,Java,Bachelor degree,Government Employees,Upper Class,25,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
41,Jakarta,31,Islam,Java,Bachelor degree,Government Employees,Lower Class,58,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
42,Jakarta,27,Islam,Sunda,Bachelor degree,Private Employees,Middle Class,44,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Disagree,Neither agree nor disagree,Disagree
43,Jakarta,37,Islam,Java,Bachelor degree,Private Employees,Middle Class,35,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
44,Jakarta,36,Islam,Java,Senior High School,Private Employees,Lower Class,59,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neither agree nor disagree,Disagree
45,Jakarta,38,Islam,Java,Diploma,Private Employees,Lower Class,65,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree
46,Jakarta,63,Protestant,Bugis,Senior High School,Enterpreneur,Middle Class,41,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neither agree nor disagree,Disagree
47,Jakarta,40,Protestant,Other,Senior High School,Enterpreneur,Upper Class,26,Agree,Strongly Agree,Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
48,Jakarta,30,Islam,Java,Bachelor degree,Enterpreneur,Lower Class,76,Strongly Agree,Agree,Strongly Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
49,Jakarta,33,Islam,Java,Master and doctoral degree,Enterpreneur,Upper Class,22,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
50,Jakarta,29,Islam,Java,Bachelor degree,Enterpreneur,Upper Class,18,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree
51,Jakarta,27,Islam,Java,Master and doctoral degree,Enterpreneur,Lower Class,57,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree
52,Jakarta,31,Islam,Java,Diploma,Government Employees,Middle Class,43,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree
53,Jakarta,24,Islam,Sunda,Bachelor degree,Government Employees,Middle Class,38,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
54,Jakarta,40,Catholic,Java,Master and doctoral degree,Government Employees,Lower Class,61,Strongly Agree,Agree,Strongly Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
55,Jakarta,65,Catholic,Other,Bachelor degree,Government Employees,Middle Class,58,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree
56,Jakarta,31,Protestant,Java,Bachelor degree,Government Employees,Middle Class,34,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
57,Jakarta,25,Protestant,Other,Bachelor degree,Government Employees,Upper Class,26,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
58,Jakarta,41,Islam,Java,Bachelor degree,Government Employees,Lower Class,57,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neither agree nor disagree,Agree
59,Jakarta,65,Islam,Java,Senior High School,Enterpreneur,Upper Class,24,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
60,Jakarta,38,Islam,Java,Diploma,Enterpreneur,Upper Class,27,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree
61,Jakarta,47,Islam,Java,Diploma,Enterpreneur,Lower Class,67,Agree,Strongly Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree
62,Jakarta,28,Islam,Java,Bachelor degree,Enterpreneur,Middle Class,36,Agree,Strongly Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
63,Jakarta,48,Islam,Sunda,Master and doctoral degree,Enterpreneur,Middle Class,42,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
